date,tweet_count,mean_vader,std_vader,vader_pos_ratio,vader_neg_ratio,finbert_pos_ratio,finbert_neg_ratio,finbert_neu_ratio,mean_finbert_score,price,volume,market_cap,price_return,log_return
2022-07-26,191,0.15380942408376963,0.3608842252246312,0.4083769633507853,0.14136125654450263,0.041884816753926704,0.05759162303664921,0.900523560209424,0.8907395722978402,21306,39348901213.89908,406944600000.0,,
2022-07-27,1206,0.16409494195688226,0.3820896216034274,0.4386401326699834,0.1517412935323383,0.0505804311774461,0.04477611940298507,0.9046434494195689,0.8773126686439783,21258,30971960993.801308,406027800000.0,-0.0022528865108419,-0.0022554280776158
2022-07-28,1577,0.17288065948002534,0.3916843358941535,0.4445149017121116,0.13633481293595434,0.03868103994927077,0.053899809765377296,0.9074191502853519,0.8857941624100781,23832,41464947997.78456,455191200000.0,0.1210838272650296,0.1142959202995912
2022-07-29,1550,0.17201432258064517,0.37581946684605244,0.4174193548387097,0.13548387096774195,0.053548387096774196,0.03806451612903226,0.9083870967741936,0.8835006035527876,23648,37434200726.4841,451676800000.0,-0.007720711648204,-0.0077506706451898
2022-07-30,1249,0.18989079263410727,0.3810691581649973,0.4731785428342674,0.12810248198558846,0.04643714971977582,0.05204163330664532,0.9015212169735789,0.8838771801409099,23282,22354433697.19124,444686200000.0,-0.01547699594046,-0.0155980149397419
2022-07-31,1164,0.18847895189003436,0.4029979513808093,0.4639175257731959,0.14175257731958762,0.04381443298969072,0.0627147766323024,0.8934707903780069,0.8843612528543702,24404,44390558790.9189,466116400000.0,0.0481917361051456,0.0470665234635567
2022-08-01,1416,0.18037620056497175,0.3753945781709058,0.4385593220338983,0.1172316384180791,0.04096045197740113,0.046610169491525424,0.9124293785310734,0.8858315546044522,23241,39028492549.75882,443903100000.0,-0.0476561219472218,-0.0488290929717308
2022-08-02,1749,0.17667295597484275,0.35250544325350625,0.4145225843339051,0.09605488850771869,0.04059462550028588,0.049170954831332186,0.9102344196683819,0.8878586661004557,23082,39651607631.92384,440866200000.0,-0.0068413579450109,-0.006864867319662
2022-08-03,1586,0.17915617906683481,0.3578527150849303,0.4558638083228247,0.10844892812105927,0.0416141235813367,0.04287515762925599,0.9155107187894073,0.8894579472750763,22585,23202840816.88865,431373500000.0,-0.0215319296421453,-0.0217671238916455
2022-08-04,1743,0.16990154905335628,0.37067340855900893,0.39816408491107286,0.11703958691910499,0.04819277108433735,0.05048766494549627,0.9013195639701663,0.8891098317543256,23270,31259648447.38918,444457000000.0,0.0303298649546159,0.0298790082076329
2022-08-05,1454,0.15984154057771666,0.349117403813568,0.3892709766162311,0.11691884456671252,0.041953232462173314,0.05295735900962861,0.9050894085281981,0.8918931251788894,23654,29269950605.81453,451791400000.0,0.0165019338203695,0.0163672565147247
2022-08-06,1596,0.17757412280701754,0.3469582851722963,0.41290726817042606,0.08458646616541353,0.03571428571428571,0.047619047619047616,0.9166666666666666,0.8949088880740909,23777,43169124721.21504,454140700000.0,0.0051999661790818,0.0051864930413402
